epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1347.44,0.88977,2.73717,1.21397,0.59683,0.63305,0.67562,0.47396,0.88754,2.72134,1.26513,0.000276791,0.000276791,0.000276791
2,7100.83,0.66904,1.73209,1.06442,0.62763,0.71147,0.73175,0.48362,1.15716,1.92307,1.52903,0.000527012,0.000527012,0.000527012
3,8525.51,0.63853,1.41535,1.04585,0.67949,0.67253,0.77683,0.54432,0.95033,1.6572,1.27699,0.000749744,0.000749744,0.000749744
4,9910.48,0.5999,1.19894,1.02958,0.76729,0.75706,0.84205,0.68335,0.73494,1.0636,1.106,0.000709299,0.000709299,0.000709299
5,11257.5,0.55379,1.05039,1.00207,0.70993,0.75413,0.8249,0.66839,0.72849,1.08295,1.10267,0.000668066,0.000668066,0.000668066
6,12633.6,0.5118,0.93651,0.9856,0.72728,0.81915,0.85202,0.70628,0.6742,0.88596,1.07807,0.000626832,0.000626832,0.000626832
7,14040.2,0.48746,0.88954,0.97562,0.85082,0.8264,0.91658,0.75779,0.66763,0.71739,1.04867,0.000585599,0.000585599,0.000585599
8,15435,0.45858,0.83182,0.96514,0.82283,0.86517,0.91019,0.7717,0.62867,0.69537,1.00836,0.000544365,0.000544365,0.000544365
9,16827.9,0.44558,0.79484,0.95794,0.85128,0.82805,0.89852,0.76265,0.62683,0.67041,1.03875,0.000503132,0.000503132,0.000503132
10,18220.9,0.43725,0.73729,0.95021,0.86926,0.86112,0.93182,0.79089,0.62183,0.59539,1.02974,0.000461898,0.000461898,0.000461898
11,19594.7,0.35372,0.47383,0.91081,0.83211,0.88472,0.91716,0.79959,0.56289,0.58109,0.99134,0.000420665,0.000420665,0.000420665
12,20972.2,0.32743,0.41195,0.89526,0.90239,0.90182,0.94277,0.82133,0.52953,0.51765,0.95331,0.000379431,0.000379431,0.000379431
13,22347.3,0.31166,0.38161,0.89295,0.82934,0.9058,0.92629,0.82882,0.5097,0.51998,0.93655,0.000338198,0.000338198,0.000338198
14,23721.7,0.29786,0.35053,0.88122,0.87618,0.89828,0.92974,0.83098,0.48977,0.50913,0.92471,0.000296964,0.000296964,0.000296964
15,25095.5,0.27529,0.32447,0.87049,0.91032,0.88347,0.93207,0.8354,0.51228,0.49186,0.93432,0.000255731,0.000255731,0.000255731
16,26472.2,0.26482,0.29335,0.86503,0.88524,0.90935,0.93648,0.84537,0.4684,0.45352,0.90849,0.000214497,0.000214497,0.000214497
17,27849,0.25,0.27039,0.85516,0.87877,0.90782,0.93961,0.84659,0.47915,0.45829,0.91875,0.000173264,0.000173264,0.000173264
18,29230.9,0.24018,0.25227,0.85371,0.89021,0.91669,0.93784,0.85557,0.44752,0.43613,0.89899,0.000132031,0.000132031,0.000132031
19,30627.4,0.22996,0.22562,0.84765,0.88676,0.91163,0.93345,0.85038,0.44352,0.44398,0.89702,9.0797e-05,9.0797e-05,9.0797e-05
20,32011.5,0.21914,0.20983,0.84301,0.9017,0.90615,0.93841,0.85911,0.43119,0.43602,0.88667,4.95635e-05,4.95635e-05,4.95635e-05
